Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours),Loss Category,Loss per User ($),Period,Severity Score
Russia,2017,SQL Injection,Banking,33.84,442940,Nation-state,Unpatched Software,AI-based Detection,7,Low,76.4,Before 2020,0.38
Russia,2024,SQL Injection,Telecommunications,17.21,677688,Nation-state,Zero-day,Encryption,31,Low,25.4,2020 & After,0.374
Russia,2017,Ransomware,Education,95.08,679860,Unknown,Social Engineering,Encryption,66,High,139.85,Before 2020,0.843
Germany,2016,Phishing,Retail,27.85,963983,Unknown,Zero-day,Encryption,45,Low,28.89,Before 2020,0.553
UK,2020,DDoS,Retail,18.52,125100,Unknown,Weak Passwords,VPN,61,Low,148.04,2020 & After,0.161
China,2016,DDoS,Education,81.31,815317,Hacker Group,Social Engineering,Antivirus,72,High,99.73,Before 2020,0.814
China,2020,Man-in-the-Middle,Retail,34.82,500252,Nation-state,Zero-day,Antivirus,29,Low,69.6,2020 & After,0.409
India,2018,DDoS,Education,55.3,512953,Unknown,Weak Passwords,Firewall,57,Medium,107.81,Before 2020,0.537
India,2023,Phishing,IT,88.71,337377,Hacker Group,Social Engineering,AI-based Detection,23,High,262.94,2020 & After,0.667
India,2024,DDoS,Retail,0.6,766733,Insider,Zero-day,AI-based Detection,55,Low,0.78,2020 & After,0.31
USA,2023,Malware,Retail,50.02,578310,Nation-state,Weak Passwords,Antivirus,15,Medium,86.49,2020 & After,0.532
France,2022,Man-in-the-Middle,Telecommunications,12.96,255574,Insider,Social Engineering,Firewall,69,Low,50.71,2020 & After,0.18
China,2023,Phishing,IT,43.58,169152,Nation-state,Unpatched Software,Encryption,49,Medium,257.64,2020 & After,0.329
USA,2020,Man-in-the-Middle,IT,33.22,216472,Unknown,Zero-day,Encryption,55,Low,153.46,2020 & After,0.286
Japan,2020,Phishing,Retail,38.96,370096,Nation-state,Weak Passwords,Encryption,23,Low,105.27,2020 & After,0.382
India,2020,Phishing,Telecommunications,30.14,742555,Insider,Zero-day,Firewall,57,Low,40.59,2020 & After,0.478
Russia,2020,Man-in-the-Middle,IT,21.72,870019,Insider,Social Engineering,AI-based Detection,5,Low,24.96,2020 & After,0.478
Australia,2022,Malware,IT,93.2,941679,Hacker Group,Social Engineering,Antivirus,43,High,98.97,2020 & After,0.936
France,2024,DDoS,Retail,88.17,738419,Unknown,Zero-day,Firewall,11,High,119.4,2020 & After,0.825
Brazil,2018,Phishing,Retail,42.46,4136,Nation-state,Zero-day,Encryption,23,Medium,10265.96,Before 2020,0.256
India,2022,SQL Injection,Education,61.41,995847,Nation-state,Social Engineering,Encryption,1,Medium,61.67,2020 & After,0.767
Japan,2022,Ransomware,Education,51.51,536995,Hacker Group,Weak Passwords,Encryption,3,Medium,95.92,2020 & After,0.524
Germany,2016,Malware,Telecommunications,77.7,57200,Hacker Group,Social Engineering,VPN,26,Medium,1358.39,Before 2020,0.489
USA,2016,Phishing,Government,14.65,936566,Nation-state,Social Engineering,VPN,61,Low,15.64,Before 2020,0.463
Japan,2019,DDoS,Healthcare,68.4,567370,Insider,Unpatched Software,VPN,9,Medium,120.56,Before 2020,0.637
India,2015,Malware,Banking,34.51,970056,Hacker Group,Unpatched Software,Firewall,30,Low,35.58,Before 2020,0.595
Brazil,2020,Ransomware,IT,71.74,3432,Hacker Group,Unpatched Software,AI-based Detection,45,Medium,20903.26,2020 & After,0.432
Brazil,2015,Malware,Education,37.54,49473,Insider,Social Engineering,Firewall,51,Low,758.8,Before 2020,0.245
France,2019,Man-in-the-Middle,IT,76.35,460984,Hacker Group,Zero-day,Firewall,55,Medium,165.62,Before 2020,0.643
UK,2024,Phishing,IT,71.2,228010,Nation-state,Social Engineering,Antivirus,59,Medium,312.27,2020 & After,0.518
Russia,2024,Ransomware,Government,48.88,172789,Hacker Group,Unpatched Software,VPN,10,Medium,282.89,2020 & After,0.362
China,2020,Man-in-the-Middle,Retail,48.24,338732,Nation-state,Unpatched Software,Firewall,15,Medium,142.41,2020 & After,0.425
Germany,2017,Ransomware,Healthcare,32,175755,Insider,Weak Passwords,Firewall,30,Low,182.07,Before 2020,0.262
Brazil,2023,DDoS,Education,50.34,897521,Nation-state,Social Engineering,AI-based Detection,19,Medium,56.09,2020 & After,0.661
Russia,2016,Ransomware,Healthcare,5.18,719532,Insider,Unpatched Software,VPN,10,Low,7.2,Before 2020,0.319
Australia,2024,DDoS,Government,95.28,583925,Insider,Zero-day,Encryption,70,High,163.17,2020 & After,0.805
Russia,2016,Phishing,Retail,70.4,480522,Unknown,Zero-day,Antivirus,72,Medium,146.51,Before 2020,0.615
Brazil,2015,SQL Injection,IT,47.2,16957,Unknown,Zero-day,Firewall,49,Medium,2783.51,Before 2020,0.29
France,2016,Ransomware,IT,29.35,316228,Unknown,Unpatched Software,VPN,7,Low,92.81,Before 2020,0.303
Australia,2018,SQL Injection,Banking,20.28,363414,Insider,Unpatched Software,Antivirus,59,Low,55.8,Before 2020,0.267
UK,2015,Man-in-the-Middle,Telecommunications,71.9,733671,Insider,Zero-day,VPN,20,Medium,98,Before 2020,0.725
France,2019,SQL Injection,Telecommunications,27.91,399457,Nation-state,Weak Passwords,Firewall,48,Low,69.87,Before 2020,0.327
China,2017,DDoS,Government,57.34,171772,Nation-state,Social Engineering,Firewall,8,Medium,333.81,Before 2020,0.413
USA,2015,Phishing,Government,82.4,197305,Insider,Unpatched Software,AI-based Detection,34,High,417.63,Before 2020,0.573
Russia,2023,Ransomware,Healthcare,15.08,677971,Insider,Social Engineering,VPN,51,Low,22.24,2020 & After,0.362
India,2021,Man-in-the-Middle,Banking,55.12,942454,Hacker Group,Social Engineering,VPN,66,Medium,58.49,2020 & After,0.708
Russia,2022,Ransomware,Government,38.84,211205,Insider,Unpatched Software,Antivirus,54,Low,183.9,2020 & After,0.318
Japan,2024,Malware,Telecommunications,42.79,483399,Insider,Zero-day,Antivirus,50,Medium,88.52,2020 & After,0.45
China,2016,DDoS,Telecommunications,97.83,699791,Nation-state,Weak Passwords,Encryption,2,High,139.8,Before 2020,0.867
Germany,2019,Phishing,Education,10.04,679314,Nation-state,Unpatched Software,Antivirus,39,Low,14.78,Before 2020,0.332
Brazil,2020,SQL Injection,Retail,96.97,466897,Insider,Unpatched Software,VPN,58,High,207.69,2020 & After,0.769
Brazil,2024,SQL Injection,Healthcare,41.05,175957,Hacker Group,Zero-day,Antivirus,69,Medium,233.3,2020 & After,0.317
India,2019,Ransomware,Government,10.37,912202,Nation-state,Weak Passwords,VPN,15,Low,11.37,Before 2020,0.427
Russia,2019,DDoS,Education,33.73,985398,Nation-state,Social Engineering,Antivirus,54,Low,34.23,Before 2020,0.597
China,2023,SQL Injection,Education,4.18,715127,Nation-state,Weak Passwords,Antivirus,60,Low,5.85,2020 & After,0.311
USA,2021,Malware,Retail,72.24,472835,Hacker Group,Unpatched Software,Encryption,57,Medium,152.78,2020 & After,0.623
Australia,2016,DDoS,Healthcare,98.25,412019,Unknown,Weak Passwords,Antivirus,34,High,238.46,Before 2020,0.754
India,2021,SQL Injection,Retail,85.69,172469,Insider,Weak Passwords,Antivirus,16,High,496.84,2020 & After,0.583
UK,2015,Phishing,Banking,39.12,893284,Unknown,Unpatched Software,AI-based Detection,21,Low,43.79,Before 2020,0.592
India,2021,Malware,Telecommunications,82.66,586,Hacker Group,Zero-day,VPN,23,High,141058.02,2020 & After,0.496
Japan,2017,Phishing,IT,49.12,845169,Nation-state,Social Engineering,VPN,1,Medium,58.12,Before 2020,0.633
Germany,2018,Ransomware,Government,89.36,184748,Unknown,Unpatched Software,Firewall,4,High,483.69,Before 2020,0.61
Japan,2021,Malware,Healthcare,77.84,783976,Nation-state,Weak Passwords,Firewall,62,Medium,99.29,2020 & After,0.781
France,2015,Phishing,IT,49.84,282583,Unknown,Weak Passwords,VPN,15,Medium,176.37,Before 2020,0.412
Germany,2020,SQL Injection,Healthcare,96.31,591828,Unknown,Unpatched Software,Encryption,16,High,162.73,2020 & After,0.815
India,2018,SQL Injection,Government,18.44,27344,Nation-state,Zero-day,VPN,1,Low,674.37,Before 2020,0.122
Australia,2024,Ransomware,Healthcare,18.16,200307,Unknown,Social Engineering,Antivirus,59,Low,90.66,2020 & After,0.189
China,2018,Man-in-the-Middle,IT,68.28,528411,Insider,Zero-day,AI-based Detection,10,Medium,129.22,Before 2020,0.621
France,2015,Phishing,Banking,95.72,551812,Insider,Weak Passwords,Encryption,69,High,173.46,Before 2020,0.795
Brazil,2019,SQL Injection,Education,96.6,975019,Unknown,Unpatched Software,Firewall,38,High,99.07,Before 2020,0.97
China,2015,DDoS,Government,97.15,399851,Nation-state,Social Engineering,VPN,38,High,242.97,Before 2020,0.743
India,2024,Ransomware,Government,79.3,998833,Hacker Group,Social Engineering,Firewall,21,Medium,79.39,2020 & After,0.876
France,2017,Man-in-the-Middle,Education,76.35,517640,Hacker Group,Unpatched Software,Firewall,4,Medium,147.5,Before 2020,0.665
Russia,2023,DDoS,Banking,33.51,615332,Hacker Group,Social Engineering,AI-based Detection,65,Low,54.46,2020 & After,0.447
France,2017,SQL Injection,Healthcare,96.08,592364,Insider,Weak Passwords,Antivirus,21,High,162.2,Before 2020,0.814
China,2020,Phishing,Education,33.69,943680,Insider,Zero-day,AI-based Detection,46,Low,35.7,2020 & After,0.58
Brazil,2017,Man-in-the-Middle,Retail,17.99,506551,Unknown,Unpatched Software,Antivirus,53,Low,35.51,Before 2020,0.311
Japan,2022,Ransomware,Government,86.84,122651,Insider,Weak Passwords,AI-based Detection,59,High,708.03,2020 & After,0.57
USA,2018,Man-in-the-Middle,Retail,97.62,459039,Nation-state,Weak Passwords,Firewall,68,High,212.66,Before 2020,0.769
Germany,2021,Ransomware,IT,25.85,176331,Insider,Weak Passwords,Antivirus,25,Low,146.6,2020 & After,0.226
USA,2018,Ransomware,Healthcare,27.37,543437,Unknown,Unpatched Software,Firewall,20,Low,50.36,Before 2020,0.382
Germany,2022,SQL Injection,Telecommunications,29.02,859311,Insider,Zero-day,AI-based Detection,47,Low,33.77,2020 & After,0.518
USA,2018,DDoS,Retail,90.78,877041,Unknown,Unpatched Software,VPN,48,High,103.51,Before 2020,0.896
France,2022,Ransomware,Healthcare,42.33,657939,Nation-state,Social Engineering,Antivirus,47,Medium,64.34,2020 & After,0.517
Japan,2019,DDoS,Banking,81.89,920270,Nation-state,Unpatched Software,Antivirus,20,High,88.98,Before 2020,0.86
USA,2015,Ransomware,Healthcare,43.81,905935,Unknown,Unpatched Software,VPN,60,Medium,48.36,Before 2020,0.625
Australia,2019,Malware,Telecommunications,93.71,217863,Insider,Unpatched Software,VPN,31,High,430.13,Before 2020,0.649
UK,2020,Man-in-the-Middle,Government,54.29,930468,Insider,Social Engineering,AI-based Detection,35,Medium,58.35,2020 & After,0.698
Japan,2022,Phishing,Healthcare,55.72,179545,Unknown,Zero-day,Encryption,15,Medium,310.34,2020 & After,0.406
India,2023,Ransomware,Retail,5.57,582097,Insider,Weak Passwords,Antivirus,40,Low,9.57,2020 & After,0.266
France,2023,SQL Injection,Banking,48.1,360752,Unknown,Zero-day,Antivirus,21,Medium,133.33,2020 & After,0.433
India,2020,Phishing,Retail,25.79,907128,Insider,Unpatched Software,Antivirus,13,Low,28.43,2020 & After,0.518
UK,2024,Man-in-the-Middle,Banking,14.84,817793,Hacker Group,Social Engineering,VPN,64,Low,18.15,2020 & After,0.416
China,2024,Malware,Healthcare,85.76,922209,Nation-state,Zero-day,Antivirus,27,High,92.99,2020 & After,0.884
USA,2019,DDoS,Retail,18.76,411707,Insider,Social Engineering,VPN,42,Low,45.57,Before 2020,0.277
India,2020,Phishing,Healthcare,38.19,847958,Insider,Weak Passwords,Firewall,32,Low,45.04,2020 & After,0.568
India,2015,Man-in-the-Middle,Banking,38.1,187807,Nation-state,Unpatched Software,VPN,37,Low,202.87,Before 2020,0.304
China,2024,SQL Injection,Telecommunications,10.18,637350,Unknown,Weak Passwords,Antivirus,52,Low,15.97,2020 & After,0.316
China,2024,SQL Injection,IT,36.27,237068,Hacker Group,Zero-day,Encryption,65,Low,152.99,2020 & After,0.313
Australia,2022,Ransomware,Government,92.07,819812,Nation-state,Unpatched Software,Encryption,63,High,112.31,2020 & After,0.881
Brazil,2023,SQL Injection,Healthcare,72.9,434510,Hacker Group,Social Engineering,Firewall,72,Medium,167.78,2020 & After,0.611
USA,2019,DDoS,Telecommunications,57.52,513601,Nation-state,Unpatched Software,VPN,14,Medium,111.99,Before 2020,0.551
Japan,2015,Malware,Healthcare,5.79,821803,Unknown,Social Engineering,Firewall,40,Low,7.05,Before 2020,0.364
Russia,2020,Man-in-the-Middle,IT,14.68,12585,Unknown,Zero-day,Antivirus,30,Low,1166.47,2020 & After,0.093
Russia,2020,Man-in-the-Middle,Telecommunications,10.12,405253,Hacker Group,Unpatched Software,Antivirus,52,Low,24.97,2020 & After,0.223
Japan,2017,DDoS,IT,86.89,703035,Unknown,Unpatched Software,Firewall,15,High,123.59,Before 2020,0.803
Australia,2022,Phishing,Government,9.84,580402,Nation-state,Social Engineering,VPN,70,Low,16.95,2020 & After,0.291
France,2017,Man-in-the-Middle,Education,49.94,640572,Hacker Group,Social Engineering,Firewall,51,Medium,77.96,Before 2020,0.556
Japan,2023,Phishing,Banking,75.13,85528,Hacker Group,Social Engineering,VPN,55,Medium,878.43,2020 & After,0.485
UK,2024,Malware,Healthcare,33.21,79940,Unknown,Zero-day,Firewall,64,Low,415.44,2020 & After,0.231
China,2023,SQL Injection,Telecommunications,54.41,215401,Hacker Group,Social Engineering,VPN,50,Medium,252.6,2020 & After,0.413
France,2018,Malware,IT,59.56,450313,Nation-state,Zero-day,AI-based Detection,26,Medium,132.26,Before 2020,0.538
Australia,2016,Malware,Retail,45.71,461668,Nation-state,Unpatched Software,Firewall,10,Medium,99.01,Before 2020,0.459
France,2021,Man-in-the-Middle,Banking,4.94,71156,Insider,Social Engineering,Encryption,34,Low,69.42,2020 & After,0.058
India,2017,Ransomware,Government,89.47,201732,Unknown,Zero-day,Antivirus,39,High,443.51,Before 2020,0.618
Russia,2018,Man-in-the-Middle,Government,45.91,322132,Nation-state,Weak Passwords,Encryption,44,Medium,142.52,Before 2020,0.404
Japan,2021,Phishing,Banking,82.85,854309,Insider,Zero-day,Antivirus,16,High,96.98,2020 & After,0.839
USA,2016,Phishing,Retail,89.85,998085,Insider,Zero-day,VPN,7,High,90.02,Before 2020,0.939
France,2018,Malware,IT,10.81,479628,Insider,Weak Passwords,VPN,13,Low,22.54,Before 2020,0.257
Russia,2022,Malware,Healthcare,34.32,554162,Insider,Weak Passwords,Encryption,33,Low,61.93,2020 & After,0.428
USA,2022,Phishing,Government,92.54,653402,Hacker Group,Social Engineering,Firewall,5,High,141.63,2020 & After,0.817
UK,2016,Man-in-the-Middle,Government,62.9,119785,Hacker Group,Unpatched Software,Encryption,14,Medium,525.11,Before 2020,0.425
Germany,2018,DDoS,Banking,48.76,754656,Hacker Group,Unpatched Software,VPN,35,Medium,64.61,Before 2020,0.595
USA,2016,Malware,Retail,41.11,848855,Unknown,Unpatched Software,VPN,37,Medium,48.43,Before 2020,0.586
China,2021,SQL Injection,Healthcare,57.2,328454,Nation-state,Zero-day,VPN,10,Medium,174.15,2020 & After,0.475
Russia,2018,DDoS,Education,13.13,510702,Hacker Group,Weak Passwords,Firewall,15,Low,25.71,Before 2020,0.283
Australia,2015,Man-in-the-Middle,Education,20.96,248083,Hacker Group,Social Engineering,Encryption,70,Low,84.49,Before 2020,0.225
Brazil,2023,DDoS,Government,42.75,746425,Unknown,Zero-day,VPN,24,Medium,57.27,2020 & After,0.555
Japan,2018,Ransomware,Education,82.89,336607,Unknown,Zero-day,AI-based Detection,17,High,246.25,Before 2020,0.632
Brazil,2021,Ransomware,Government,21.21,570810,Insider,Social Engineering,Firewall,72,Low,37.16,2020 & After,0.356
France,2020,Malware,Banking,12.25,162930,Insider,Unpatched Software,Firewall,13,Low,75.19,2020 & After,0.139
Japan,2015,SQL Injection,Education,61.87,244406,Nation-state,Social Engineering,VPN,43,Medium,253.14,Before 2020,0.469
Japan,2016,DDoS,Education,71.12,604557,Nation-state,Social Engineering,Encryption,20,Medium,117.64,Before 2020,0.669
Germany,2024,Man-in-the-Middle,Education,26.58,313397,Hacker Group,Social Engineering,AI-based Detection,36,Low,84.81,2020 & After,0.285
Australia,2023,Malware,Retail,5.24,696902,Nation-state,Unpatched Software,Encryption,21,Low,7.52,2020 & After,0.31
UK,2024,Phishing,Banking,30.39,156576,Hacker Group,Unpatched Software,VPN,72,Low,194.09,2020 & After,0.245
UK,2020,Phishing,Healthcare,66.55,843310,Hacker Group,Zero-day,Antivirus,71,Medium,78.92,2020 & After,0.737
China,2016,DDoS,Telecommunications,83.02,281862,Insider,Social Engineering,AI-based Detection,4,High,294.54,Before 2020,0.611
India,2024,Ransomware,IT,88.23,526308,Insider,Unpatched Software,Antivirus,23,High,167.64,2020 & After,0.74
Russia,2018,DDoS,IT,5.18,826924,Insider,Social Engineering,VPN,35,Low,6.26,Before 2020,0.362
China,2024,DDoS,IT,13.77,928751,Insider,Social Engineering,Encryption,26,Low,14.83,2020 & After,0.454
China,2021,Ransomware,Education,21.9,304804,Hacker Group,Weak Passwords,AI-based Detection,53,Low,71.85,2020 & After,0.253
Brazil,2024,Man-in-the-Middle,Education,34.42,960625,Nation-state,Weak Passwords,Firewall,48,Low,35.83,2020 & After,0.591
France,2019,Ransomware,Government,57.9,264088,Unknown,Weak Passwords,AI-based Detection,28,Medium,219.25,Before 2020,0.453
Australia,2022,Phishing,Healthcare,61.97,633750,Insider,Unpatched Software,Antivirus,45,Medium,97.78,2020 & After,0.625
China,2021,Ransomware,Healthcare,56.11,255531,Unknown,Social Engineering,Firewall,17,Medium,219.58,2020 & After,0.439
Australia,2018,Ransomware,Banking,50.64,874035,Insider,Unpatched Software,Antivirus,38,Medium,57.94,Before 2020,0.654
USA,2017,DDoS,Healthcare,64.99,632431,Insider,Zero-day,VPN,55,Medium,102.76,Before 2020,0.643
Brazil,2018,Ransomware,Education,69.04,939146,Nation-state,Zero-day,Firewall,56,Medium,73.51,Before 2020,0.79
India,2022,Man-in-the-Middle,Retail,13.82,633855,Hacker Group,Social Engineering,Antivirus,37,Low,21.8,2020 & After,0.337
Australia,2016,Malware,Government,22.48,686176,Nation-state,Zero-day,Firewall,62,Low,32.76,Before 2020,0.409
China,2022,Malware,Retail,11.31,561807,Unknown,Zero-day,Antivirus,17,Low,20.13,2020 & After,0.293
India,2023,SQL Injection,Government,60.53,15768,Unknown,Zero-day,VPN,66,Medium,3838.79,2020 & After,0.37
Germany,2019,Malware,Healthcare,98.45,32423,Hacker Group,Weak Passwords,Antivirus,45,High,3036.42,Before 2020,0.604
China,2021,SQL Injection,IT,97.06,329378,Nation-state,Weak Passwords,VPN,61,High,294.68,2020 & After,0.714
India,2020,Phishing,Healthcare,64.7,541451,Hacker Group,Weak Passwords,Encryption,17,Medium,119.49,2020 & After,0.605
China,2020,Man-in-the-Middle,Education,1.05,255393,Unknown,Unpatched Software,Encryption,71,Low,4.11,2020 & After,0.108
Japan,2017,Phishing,Government,89.97,141115,Hacker Group,Zero-day,AI-based Detection,9,High,637.57,Before 2020,0.596
India,2015,Man-in-the-Middle,Telecommunications,48.58,358210,Nation-state,Zero-day,AI-based Detection,11,Medium,135.62,Before 2020,0.435
Japan,2023,Man-in-the-Middle,Education,16.42,60322,Insider,Zero-day,VPN,22,Low,272.21,2020 & After,0.123
China,2019,Ransomware,Government,15.42,555153,Unknown,Zero-day,Encryption,11,Low,27.78,Before 2020,0.315
India,2018,SQL Injection,Healthcare,47.15,98266,Insider,Social Engineering,Firewall,18,Medium,479.82,Before 2020,0.322
Russia,2019,Man-in-the-Middle,IT,52.8,633511,Insider,Zero-day,VPN,58,Medium,83.35,Before 2020,0.57
UK,2015,Man-in-the-Middle,Banking,64.88,976213,Unknown,Social Engineering,Firewall,28,Medium,66.46,Before 2020,0.78
Brazil,2016,DDoS,Telecommunications,94.1,838739,Unknown,Social Engineering,VPN,21,High,112.19,Before 2020,0.9
China,2023,Ransomware,IT,23.18,367503,Nation-state,Weak Passwords,Encryption,17,Low,63.07,2020 & After,0.286
China,2018,Ransomware,Education,17.44,598614,Insider,Social Engineering,VPN,59,Low,29.13,Before 2020,0.344
France,2022,Phishing,Retail,22.72,629571,Hacker Group,Unpatched Software,VPN,41,Low,36.09,2020 & After,0.388
Japan,2021,Man-in-the-Middle,Education,69.99,834355,Nation-state,Unpatched Software,AI-based Detection,71,Medium,83.89,2020 & After,0.754
USA,2020,Man-in-the-Middle,IT,87.88,731495,Nation-state,Unpatched Software,Antivirus,3,High,120.14,2020 & After,0.82
UK,2020,SQL Injection,Retail,69.91,354637,Insider,Social Engineering,VPN,63,Medium,197.13,2020 & After,0.561
USA,2020,Ransomware,Banking,27.45,60428,Nation-state,Weak Passwords,Antivirus,27,Low,454.26,2020 & After,0.189
China,2024,DDoS,Retail,13.17,95351,Nation-state,Unpatched Software,Antivirus,11,Low,138.12,2020 & After,0.117
Brazil,2020,Phishing,Retail,50.99,826159,Insider,Weak Passwords,VPN,3,Medium,61.72,2020 & After,0.637
France,2020,SQL Injection,Healthcare,66.92,234301,Insider,Zero-day,AI-based Detection,32,Medium,285.62,2020 & After,0.495
UK,2020,Phishing,Healthcare,39.47,551014,Nation-state,Social Engineering,Firewall,71,Low,71.63,2020 & After,0.457
Brazil,2017,SQL Injection,Telecommunications,4.35,809757,Nation-state,Social Engineering,VPN,61,Low,5.37,Before 2020,0.35
UK,2017,Malware,Healthcare,24.06,612319,Unknown,Social Engineering,Antivirus,47,Low,39.29,Before 2020,0.389
UK,2015,Phishing,Telecommunications,21.8,312051,Nation-state,Unpatched Software,VPN,41,Low,69.86,Before 2020,0.256
USA,2018,Phishing,Banking,89.74,279786,Insider,Zero-day,VPN,46,High,320.75,Before 2020,0.65
Australia,2016,Phishing,Government,72.34,847817,Hacker Group,Social Engineering,Firewall,13,Medium,85.33,Before 2020,0.773
Australia,2016,Man-in-the-Middle,Education,37.48,382682,Nation-state,Zero-day,Firewall,12,Low,97.94,Before 2020,0.378
USA,2021,Phishing,IT,38.2,159917,Insider,Zero-day,Antivirus,47,Low,238.87,2020 & After,0.293
France,2023,Man-in-the-Middle,Government,85.85,841548,Unknown,Zero-day,Firewall,68,High,102.01,2020 & After,0.852
Japan,2017,DDoS,Healthcare,5.5,751586,Nation-state,Social Engineering,AI-based Detection,24,Low,7.32,Before 2020,0.334
Germany,2024,Man-in-the-Middle,Banking,53.51,680154,Nation-state,Zero-day,Firewall,2,Medium,78.67,2020 & After,0.593
France,2023,Phishing,Education,37.38,978508,Insider,Weak Passwords,Firewall,42,Low,38.2,2020 & After,0.616
Germany,2020,Man-in-the-Middle,IT,84.55,392247,Unknown,Zero-day,Antivirus,7,High,215.55,2020 & After,0.664
Russia,2023,SQL Injection,Retail,34.87,446911,Unknown,Weak Passwords,Firewall,25,Low,78.02,2020 & After,0.388
Australia,2023,Ransomware,IT,17.26,777799,Insider,Weak Passwords,Firewall,2,Low,22.19,2020 & After,0.415
Australia,2016,Ransomware,Healthcare,82.99,799581,Nation-state,Zero-day,AI-based Detection,50,High,103.79,Before 2020,0.818
Germany,2015,Man-in-the-Middle,Retail,85.34,819676,Hacker Group,Zero-day,Antivirus,59,High,104.11,Before 2020,0.84
Japan,2023,SQL Injection,Telecommunications,31.46,192430,Nation-state,Unpatched Software,AI-based Detection,49,Low,163.49,2020 & After,0.266
UK,2016,DDoS,Telecommunications,74.5,735,Hacker Group,Unpatched Software,Firewall,69,Medium,101360.54,Before 2020,0.447
USA,2023,Ransomware,Healthcare,12.79,654947,Insider,Social Engineering,Encryption,23,Low,19.53,2020 & After,0.339
USA,2018,DDoS,Banking,10.01,327826,Hacker Group,Social Engineering,AI-based Detection,35,Low,30.53,Before 2020,0.191
France,2016,Man-in-the-Middle,Healthcare,23.99,106126,Unknown,Weak Passwords,Antivirus,19,Low,226.05,Before 2020,0.186
Russia,2022,Man-in-the-Middle,IT,34.57,46493,Insider,Unpatched Software,Encryption,62,Low,743.55,2020 & After,0.226
Japan,2021,Man-in-the-Middle,Education,15.78,733307,Nation-state,Social Engineering,Firewall,29,Low,21.52,2020 & After,0.388
France,2015,Malware,Government,71.91,789673,Unknown,Weak Passwords,Antivirus,31,Medium,91.06,Before 2020,0.747
China,2017,Ransomware,Education,64.93,159061,Insider,Weak Passwords,Firewall,12,Medium,408.21,Before 2020,0.453
China,2020,Phishing,Education,6.35,80748,Hacker Group,Zero-day,Encryption,8,Low,78.64,2020 & After,0.07
UK,2020,Man-in-the-Middle,IT,85.85,697536,Unknown,Social Engineering,AI-based Detection,72,High,123.08,2020 & After,0.794
Brazil,2019,SQL Injection,Healthcare,46.5,748146,Insider,Weak Passwords,AI-based Detection,13,Medium,62.15,Before 2020,0.578
Russia,2020,Man-in-the-Middle,Telecommunications,64.39,803579,Unknown,Weak Passwords,VPN,1,Medium,80.13,2020 & After,0.708
France,2021,Phishing,Retail,13.47,537683,Insider,Unpatched Software,VPN,41,Low,25.05,2020 & After,0.296
France,2020,DDoS,Retail,40.72,743271,Nation-state,Social Engineering,Firewall,10,Medium,54.78,2020 & After,0.542
Australia,2018,Malware,Telecommunications,36.01,215231,Unknown,Zero-day,AI-based Detection,49,Low,167.31,Before 2020,0.302
UK,2022,Phishing,Banking,57.89,135941,Nation-state,Social Engineering,AI-based Detection,7,Medium,425.85,2020 & After,0.402
USA,2017,Phishing,IT,7.95,362478,Hacker Group,Zero-day,Encryption,67,Low,21.93,Before 2020,0.193
Russia,2022,DDoS,Education,13.89,537149,Nation-state,Unpatched Software,VPN,54,Low,25.86,2020 & After,0.298
China,2016,SQL Injection,Retail,96.28,162061,Insider,Zero-day,Firewall,32,High,594.1,Before 2020,0.643
China,2016,Ransomware,Banking,94.63,455702,Hacker Group,Weak Passwords,Antivirus,5,High,207.66,Before 2020,0.75
UK,2021,Ransomware,Telecommunications,13.26,448367,Nation-state,Social Engineering,AI-based Detection,7,Low,29.57,2020 & After,0.259
France,2019,Malware,Retail,21.92,603904,Nation-state,Unpatched Software,Firewall,38,Low,36.3,Before 2020,0.373
France,2016,Malware,IT,81.81,331741,Hacker Group,Social Engineering,Antivirus,29,High,246.61,Before 2020,0.624
Japan,2023,Ransomware,Education,58.79,983506,Hacker Group,Social Engineering,AI-based Detection,35,Medium,59.78,2020 & After,0.746
China,2015,Phishing,Retail,14.72,914743,Insider,Social Engineering,AI-based Detection,69,Low,16.09,Before 2020,0.454
Germany,2022,Malware,Banking,59.7,258587,Insider,Social Engineering,VPN,7,Medium,230.87,2020 & After,0.462
Brazil,2020,Man-in-the-Middle,Retail,16.26,527964,Insider,Zero-day,Firewall,28,Low,30.8,2020 & After,0.309
Brazil,2015,Phishing,Banking,29.61,593384,Unknown,Zero-day,Firewall,65,Low,49.9,Before 2020,0.415
UK,2023,Malware,IT,82.38,386972,Insider,Unpatched Software,AI-based Detection,56,High,212.88,2020 & After,0.649
China,2017,DDoS,Healthcare,96.49,644339,Insider,Unpatched Software,Antivirus,71,High,149.75,Before 2020,0.837
Brazil,2024,DDoS,Healthcare,76.39,782425,Insider,Weak Passwords,Encryption,13,Medium,97.63,2020 & After,0.771
Russia,2024,SQL Injection,Banking,79.98,84185,Nation-state,Weak Passwords,VPN,2,Medium,950.05,2020 & After,0.514
UK,2022,Malware,Healthcare,91.65,337120,Insider,Weak Passwords,Firewall,59,High,271.86,2020 & After,0.685
UK,2020,Phishing,Banking,3.84,241282,Hacker Group,Social Engineering,Encryption,55,Low,15.91,2020 & After,0.12
